Event Name,Date,Location,Type,Region,Website
Empty Graves,3/5/2024,Funhouse,Music,Capitol Hill / Central District,https://visitseattle.org/events/empty-graves/
Evan Dando (of the Lemonheads),3/5/2024,The Triple Door,Music,Downtown,https://visitseattle.org/events/evan-dando-of-the-lemonheads/
Eve’s Bayou – smARTfilms: Black Luxury,3/5/2024,Bainbridge Island Museum of Art,Museums,West,https://visitseattle.org/events/eves-bayou-smartfilms-black-luxury/
Frond,3/5/2024,Sunset Tavern,Music,Fremont / Ballard,https://visitseattle.org/events/frond/
Marc E. Bassy,3/5/2024,Neumos,Music,Capitol Hill / Central District,https://visitseattle.org/events/marc-e-bassy/
Maria Jose Llergo,3/6/2024,The Triple Door,Music,Downtown,https://visitseattle.org/events/maria-jose-llergo/
Shawn Phillips,3/6/2024,The Triple Door,Music,Downtown,https://visitseattle.org/events/shawn-phillips/
Atlus,3/7/2024,Nectar Lounge,Music,Fremont / Ballard,https://visitseattle.org/events/atlus/
Critical Mass Big Band,3/7/2024,The Royal Room,Music,South Seattle,https://visitseattle.org/events/critical-mass-big-band/
Rick Estrin and The Nightcats,3/7/2024,The Triple Door,Music,Downtown,https://visitseattle.org/events/rick-estrin-and-the-nightcats/
Theresa Caputo Live,3/7/2024,The Moore Theatre,Theatre,Downtown,https://visitseattle.org/events/theresa-caputo-live/
Calidore Quartet & Abeo Quartet,3/8/2024,415 Westlake,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/calidore-quartet-abeo-quartet/
Debut,3/8/2024,Barboza,Music,Capitol Hill / Central District,https://visitseattle.org/events/debut/
Holding / Movement,3/8/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/holding-movement/
International Women’s Day Live Sessions Concert,3/8/2024,The Royal Room,Music,South Seattle,https://visitseattle.org/events/international-womens-day-live-sessions-concert/
Karla Bonoff,3/8/2024,The Triple Door,Music,Downtown,https://visitseattle.org/events/karla-bonoff/
Seattle Kraken vs. Winnipeg Jets,3/8/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-winnipeg-jets/
Frye in Focus: LINEAJES + Frye Salon,Now through 3/9/2024,Frye Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/frye-in-focus-lineajes-frye-salon/
X:The Life and Times of Malcolm X,Now through 3/9/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/xthe-life-and-times-of-malcolm-x/
Bach St. John Passion,3/7/2024 through 3/9/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/bach-st-john-passion/
Ariel Pink,3/9/2024,El Corazon,Music,Downtown,https://visitseattle.org/events/ariel-pink/
Biblioteka,3/9/2024,Sunset Tavern,Music,Fremont / Ballard,https://visitseattle.org/events/biblioteka/
Carnaval with EntreMundos Big Band,3/9/2024,The Royal Room,Music,South Seattle,https://visitseattle.org/events/carnaval-with-entremundos-big-band/
Coco Montoya,3/9/2024,The Triple Door,Music,Downtown,https://visitseattle.org/events/coco-montoya/
