Event Name,Date,Location,Type,Region,Website,Latitude,Longitude,ShortForecast
Empty Graves,3/5/2024,Funhouse,Music,Capitol Hill / Central District,https://visitseattle.org/events/empty-graves/,43.6576535,-72.2840663,Weather forecast not found for specific date
Evan Dando (of the Lemonheads),3/5/2024,The Triple Door,Music,Downtown,https://visitseattle.org/events/evan-dando-of-the-lemonheads/,47.6086439,-122.337685,Sunny
Eve’s Bayou – smARTfilms: Black Luxury,3/5/2024,Bainbridge Island Museum of Art,Museums,West,https://visitseattle.org/events/eves-bayou-smartfilms-black-luxury/,47.6251322,-122.51453295865404,Sunny
Frond,3/5/2024,Sunset Tavern,Music,Fremont / Ballard,https://visitseattle.org/events/frond/,36.0254577,-114.9637699,Sunny
Marc E. Bassy,3/5/2024,Neumos,Music,Capitol Hill / Central District,https://visitseattle.org/events/marc-e-bassy/,47.613954,-122.3196108,Sunny
Maria Jose Llergo,3/6/2024,The Triple Door,Music,Downtown,https://visitseattle.org/events/maria-jose-llergo/,47.6086439,-122.337685,Partly Sunny
Shawn Phillips,3/6/2024,The Triple Door,Music,Downtown,https://visitseattle.org/events/shawn-phillips/,47.6086439,-122.337685,Partly Sunny
Atlus,3/7/2024,Nectar Lounge,Music,Fremont / Ballard,https://visitseattle.org/events/atlus/,47.6523876,-122.3538541520202,Mostly Sunny
Critical Mass Big Band,3/7/2024,The Royal Room,Music,South Seattle,https://visitseattle.org/events/critical-mass-big-band/,32.2275723,-110.9685178,Chance Rain Showers
Rick Estrin and The Nightcats,3/7/2024,The Triple Door,Music,Downtown,https://visitseattle.org/events/rick-estrin-and-the-nightcats/,47.6086439,-122.337685,Partly Sunny
Theresa Caputo Live,3/7/2024,The Moore Theatre,Theatre,Downtown,https://visitseattle.org/events/theresa-caputo-live/,42.2896932,-83.7207314,"Error fetching weather data: HTTPSConnectionPool(host='api.weather.gov', port=443): Read timed out. (read timeout=1)"
Calidore Quartet & Abeo Quartet,3/8/2024,415 Westlake,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/calidore-quartet-abeo-quartet/,47.622554,-122.3386578,Chance Light Rain
Debut,3/8/2024,Barboza,Music,Capitol Hill / Central District,https://visitseattle.org/events/debut/,-13.248885,-41.0275842,Weather API response code: 404
Holding / Movement,3/8/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/holding-movement/,47.60811665,-122.33697040702705,Chance Light Rain
International Women’s Day Live Sessions Concert,3/8/2024,The Royal Room,Music,South Seattle,https://visitseattle.org/events/international-womens-day-live-sessions-concert/,32.2275723,-110.9685178,Mostly Sunny
Karla Bonoff,3/8/2024,The Triple Door,Music,Downtown,https://visitseattle.org/events/karla-bonoff/,47.6086439,-122.337685,Chance Light Rain
Seattle Kraken vs. Winnipeg Jets,3/8/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,https://visitseattle.org/events/seattle-kraken-vs-winnipeg-jets/,47.6219014,-122.353990491486,Chance Light Rain
Frye in Focus: LINEAJES + Frye Salon,Now through 3/9/2024,Frye Art Museum,Museums,Capitol Hill / Central District,https://visitseattle.org/events/frye-in-focus-lineajes-frye-salon/,47.60719095,-122.32405377084555,Light Rain
X:The Life and Times of Malcolm X,Now through 3/9/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,https://visitseattle.org/events/xthe-life-and-times-of-malcolm-x/,47.62397705,-122.35038850536958,Light Rain
Bach St. John Passion,3/7/2024 through 3/9/2024,Benaroya Hall,Music,Downtown,https://visitseattle.org/events/bach-st-john-passion/,47.60811665,-122.33697040702705,Light Rain
Ariel Pink,3/9/2024,El Corazon,Music,Downtown,https://visitseattle.org/events/ariel-pink/,-5.2464353,-78.9699948,Weather API response code: 404
Biblioteka,3/9/2024,Sunset Tavern,Music,Fremont / Ballard,https://visitseattle.org/events/biblioteka/,36.0254577,-114.9637699,"Error fetching weather data: HTTPConnectionPool(host='api.weather.gov', port=80): Max retries exceeded with url: /points/36.0254577,-114.9637699 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f7e51209c70>, 'Connection to api.weather.gov timed out. (connect timeout=1)'))"
Carnaval with EntreMundos Big Band,3/9/2024,The Royal Room,Music,South Seattle,https://visitseattle.org/events/carnaval-with-entremundos-big-band/,32.2275723,-110.9685178,Sunny
Coco Montoya,3/9/2024,The Triple Door,Music,Downtown,https://visitseattle.org/events/coco-montoya/,47.6086439,-122.337685,Light Rain
